Motor	LY	IO-360-B	Series	-	Fuel Flow - Best Economy																						
	% PERFOR	RPM	0	1000	2000	3000	4000	5000	6000	7000	8000	9000	10000	11000	12000	13000	14000	15000	16000	17000	18000	19000	20000	21000	22000	23000	24000
	0.411	1800	32.12	32.34	32.67	33.00	33.33	33.67	34.00	34.33	34.67	35.00	35.33	35.66	36.00	36.33	36.66	37.00	36.78	35.63	34.44	33.21	31.94	30.62	29.27	27.88	26.45
	0.453	1900	35.38	35.61	35.96	36.31	36.66	37.01	37.36	37.71	38.06	38.41	38.76	39.11	39.46	39.81	40.16	39.93	38.73	37.50	36.24	34.94	33.61	32.24	30.84	29.41	27.94
	0.512	2000	39.66	39.96	40.31	40.66	41.01	41.36	41.72	42.07	42.42	42.77	43.12	43.47	43.82	44.17	43.26	42.04	40.80	39.51	38.19	36.83	35.44	34.01	32.55	31.05	29.51
	0.560	2100	43.43	43.79	44.13	44.47	44.80	45.14	45.48	45.82	46.16	46.50	46.83	47.17	47.51	46.55	45.31	44.04	42.74	41.40	40.03	38.62	37.18	35.71	34.20	32.66	31.08
	0.613	2200	47.56	48.03	48.42	48.81	49.20	49.59	49.98	50.37	50.76	51.15	51.54	51.24	50.01	48.75	47.46	46.13	44.77	43.38	41.95	40.49	39.00	37.47	35.91	34.32	32.69
	0.679	2300	52.13	52.26	52.66	53.06	53.45	53.85	54.25	54.65	55.04	55.56	54.36	53.11	51.84	50.53	49.19	47.81	46.40	44.96	43.48	41.97	40.43	38.86	37.25	35.61	33.93
	0.713	2350	54.49	54.87	55.31	55.75	56.19	56.63	57.07	57.51	57.78	56.57	55.33	54.06	52.75	51.41	50.04	48.63	47.19	45.72	44.22	42.69	41.12	39.52	37.89	36.22	34.52
	0.750	2400	57.01	57.48	57.96	58.44	58.93	59.41	59.89	60.03	58.82	57.58	56.30	54.99	53.65	52.28	50.88	49.45	47.98	46.48	44.96	43.39	41.80	40.18	38.52	36.83	35.11
	0.790	2450	59.82	60.44	60.90	61.37	61.83	62.29	62.23	61.04	59.81	58.56	57.27	55.95	54.60	53.22	51.80	50.36	48.88	47.37	45.83	44.26	42.65	41.02	39.35	37.65	35.92
	0.834	2500	62.81	63.36	63.81	64.26	64.70	64.41	63.24	62.03	60.80	59.53	58.23	56.90	55.54	54.14	52.72	51.26	49.77	48.25	46.70	45.12	43.50	41.86	40.18	38.47	36.73
	0.934	2600	70.09	70.53	71.08	69.75	68.58	67.38	66.15	64.88	63.58	62.25	60.89	59.49	58.06	56.59	55.10	53.57	52.00	50.41	48.78	47.12	45.42	43.69	41.93	40.14	38.31
	1.000	2700	74.62	73.72	72.62	71.50	70.34	69.15	67.93	66.67	65.38	64.06	62.71	61.32	59.91	58.46	56.97	55.46	53.91	52.33	50.72	49.08	47.40	45.69	43.95	42.17	40.37
