Motor	LY	IO-360-B	Series	-	POWER - Best Economy																						
	% PERFOR	RPM	0	1000	2000	3000	4000	5000	6000	7000	8000	9000	10000	11000	12000	13000	14000	15000	16000	17000	18000	19000	20000	21000	22000	23000	24000
	0.411	1800	74.58	75.23	76.25	77.27	78.29	79.31	80.34	81.36	82.38	83.40	84.42	85.44	86.46	87.48	88.50	89.52	88.87	85.34	81.68	77.91	74.00	69.98	65.83	61.56	57.17
	0.453	1900	82.12	82.83	83.90	84.97	86.04	87.12	88.19	89.26	90.34	91.41	92.48	93.55	94.63	95.70	96.77	96.05	92.39	88.62	84.75	80.78	76.70	72.52	68.23	63.84	59.34
	0.512	2000	92.78	93.70	94.78	95.85	96.92	98.00	99.07	100.14	101.22	102.29	103.36	104.43	105.51	106.58	103.78	100.08	96.26	92.33	88.30	84.15	79.89	75.52	71.05	66.46	61.76
	0.560	2100	101.52	102.60	103.63	104.65	105.68	106.70	107.72	108.75	109.77	110.80	111.82	112.85	113.87	110.94	107.20	103.36	99.41	95.36	91.21	86.95	82.60	78.13	73.57	68.90	64.13
	0.613	2200	111.17	112.57	113.74	114.91	116.08	117.25	118.42	119.59	120.76	121.93	123.10	122.17	118.50	114.73	110.85	106.87	102.80	98.62	94.35	89.97	85.49	80.91	76.23	71.45	66.57
	0.679	2300	123.09	123.48	124.67	125.86	127.06	128.25	129.45	130.64	131.84	133.40	129.77	126.04	122.21	118.28	114.25	110.12	105.89	101.56	97.13	92.60	87.97	83.24	78.41	73.49	68.46
	0.713	2350	129.30	130.44	131.77	133.09	134.41	135.73	137.05	138.37	139.19	135.55	131.82	127.99	124.06	120.04	115.91	111.69	107.37	102.96	98.44	93.83	89.12	84.31	79.41	74.41	69.31
	0.750	2400	135.99	137.41	138.86	140.31	141.75	143.20	144.65	145.08	141.43	137.70	133.86	129.93	125.91	121.79	117.57	113.26	108.85	104.35	99.75	95.05	90.26	85.38	80.40	75.32	70.15
	0.790	2450	143.33	145.18	146.58	147.98	149.39	150.79	150.59	146.99	143.29	139.49	135.60	131.62	127.53	123.36	119.08	114.71	110.25	105.68	101.03	96.27	91.42	86.48	81.44	76.30	71.07
	0.834	2500	151.25	152.94	154.30	155.66	157.02	156.13	152.56	148.90	145.15	141.29	137.35	133.30	129.16	124.93	120.59	116.16	111.64	107.02	102.30	97.49	92.58	87.58	82.48	77.28	71.99
	0.934	2600	169.31	170.62	172.29	168.29	164.79	161.19	157.50	153.70	149.81	145.81	141.72	137.53	133.24	128.85	124.36	119.77	115.09	110.30	105.42	100.44	95.36	90.18	84.90	79.52	74.04
	1.000	2700	181.37	178.59	175.24	171.78	168.23	164.58	160.83	156.98	153.03	148.98	144.83	140.58	136.23	131.78	127.23	122.59	117.84	112.99	108.05	103.00	97.86	92.61	87.27	81.83	76.29
