Motor	LY	IO-360-B	Series	-	POWER - Best Economy																						
	% PERFOR	RPM	0	1000	2000	3000	4000	5000	6000	7000	8000	9000	10000	11000	12000	13000	14000	15000	16000	17000	18000	19000	20000	21000	22000	23000	24000
	0.41	1800	74.6	75.2	76.3	77.3	78.3	79.3	80.3	81.4	82.4	83.4	84.4	85.4	86.5	87.5	88.5	89.5	88.9	85.3	81.7	77.9	74	70	65.8	61.6	57.2
	0.45	1900	82.1	82.8	83.9	85	86	87.1	88.2	89.3	90.3	91.4	92.5	93.6	94.6	95.7	96.8	96.1	92.4	88.6	84.8	80.8	76.7	72.5	68.2	63.8	59.3
	0.51	2000	92.8	93.7	94.8	95.9	96.9	98	99.1	100.1	101.2	102.3	103.4	104.4	105.5	106.6	103.8	100.1	96.3	92.3	88.3	84.1	79.9	75.5	71	66.5	61.8
	0.56	2100	101.5	102.6	103.6	104.7	105.7	106.7	107.7	108.7	109.8	110.8	111.8	112.8	113.9	110.9	107.2	103.4	99.4	95.4	91.2	87	82.6	78.1	73.6	68.9	64.1
	0.61	2200	111.2	112.6	113.7	114.9	116.1	117.3	118.4	119.6	120.8	121.9	123.1	122.2	118.5	114.7	110.9	106.9	102.8	98.6	94.3	90	85.5	80.9	76.2	71.5	66.6
	0.68	2300	123.1	123.5	124.7	125.9	127.1	128.3	129.4	130.6	131.8	133.4	129.8	126	122.2	118.3	114.2	110.1	105.9	101.6	97.1	92.6	88	83.2	78.4	73.5	68.5
	0.75	2400	136	137.4	138.9	140.3	141.8	143.2	144.6	145.1	141.4	137.7	133.9	129.9	125.9	121.8	117.6	113.3	108.8	104.3	99.7	95.1	90.3	85.4	80.4	75.3	70.1
	0.83	2500	151.2	152.9	154.3	155.7	157	156.1	152.6	148.9	145.1	141.3	137.3	133.3	129.2	124.9	120.6	116.2	111.6	107	102.3	97.5	92.6	87.6	82.5	77.3	72
	0.93	2600	169.3	170.6	171.7	168.3	164.8	161.2	157.5	153.7	149.8	145.8	141.7	137.5	133.2	128.8	124.4	119.8	115.1	110.3	105.4	100.4	95.4	90.2	84.9	79.5	74
	1	2700	181.4	178.6	175.2	171.8	168.2	164.6	160.8	157	153	149	144.8	140.6	136.2	131.8	127.2	122.6	117.8	113	108	103	97.9	92.6	87.3	81.8	76.3
